,MJD,DM,DMError,Flux,FluxError,Width,PeakFrequency,PeakFrequencyError,BandWidth,BandWidthError,Fluence,FluenceError,Energy,RM,RMErrorLeft,RMErrorRight,Linear,LinearError,Circular,CircularError
965,59903.50402,220.72,0.15,29.1,0.4,3.21,1029.4,6.3,118.5,13.5,0.093,0.001,6.74,5.7,6.7,6.7,82.9,8.1,-0.7,6.2
966,59903.50513,220.96,0.1,348.6,4.2,10.89,1084.5,4,291.5,11.9,3.796,0.046,273.82,-2.7,0.1,0.1,97.5,0.4,21.1,0.3
967,59903.50585,220.38,0.08,248.9,3,6.25,1089,2.4,221.7,7.3,1.555,0.019,112.17,-0.5,0.2,0.2,99.4,0.6,-5.6,0.5
968,59906.51268,220.38,0.19,46,0.6,6.35,1006.3,4.8,115.6,7.7,0.292,0.004,21.06,5.5,2.7,2.7,97.8,3.5,-8.1,2.5
969,59906.51537,220.96,0.25,109,1.3,5.06,1139.1,3.4,209,11,0.551,0.007,39.78,-0.3,0.5,0.5,97.8,1.9,-15.6,1.4
970,59906.51575,220.41,0.1,112.6,1.4,6.65,1111.4,3.2,224,10.4,0.749,0.009,54.04,1.3,0.4,0.4,103.5,1.4,7.9,0.9
971,59906.51823,219.46,0.08,269.5,3.3,13.06,1043.3,6.4,298.5,13.9,3.521,0.043,253.98,-3.3,0.1,0.1,85.3,0.4,49.9,0.4
972,59906.51864,222.33,0.4,63.2,0.8,19.11,1017.6,18.8,81.2,40.7,1.208,0.015,87.14,-0.1,0.5,0.5,98.5,1.2,-7.8,0.9
973,59906.51864,220.03,0.09,461.1,5.7,8.71,1112.8,1.8,185,5.5,4.017,0.049,289.8,8.7,0.1,0.1,41,0.2,-2.3,0.2
974,59906.51864,220.66,0.16,144.4,1.8,8.17,1019.5,2.7,78.7,5.4,1.179,0.015,85.08,5.7,0.5,0.6,99.4,0.9,-2.3,0.6
975,59906.51923,220.2,0.22,22.8,0.3,2.02,1035.4,4.7,74.4,12.2,0.046,0.001,3.31,13.5,21.3,20,71.7,16.3,-0.4,13.2
976,59906.51981,219.85,0.23,23.2,0.3,0.99,1011.7,11.6,90.1,21.3,0.023,0,1.66,16.9,16.1,16.9,100.6,22,-25.7,16
977,59906.51983,220.36,4.33,57.9,0.7,5.54,1436.8,8.4,254.1,21.1,0.321,0.004,23.13,-3.9,1.4,1.3,99.7,2.5,-11.6,1.8
978,59906.52059,220.54,0.13,72.6,0.9,8.08,994.5,10.8,164,14.6,0.587,0.007,42.34,3.3,0.9,0.9,99.5,2,1.2,1.4
979,59906.52059,220.19,0.11,36.4,0.4,2.62,1009.4,3.1,61.4,5.8,0.096,0.001,6.9,-2.3,5.7,6,90.9,7.1,-19.6,5.3
980,59906.52109,221.97,0.45,27.5,0.3,3.18,1156.6,13.6,260.2,53.7,0.087,0.001,6.3,-3.7,3.1,3.4,85.9,11.1,-3.7,8.4
981,59906.52112,220.56,0.14,98,1.2,7.49,1155.1,4.4,256.4,17.4,0.734,0.009,52.96,-0.5,0.4,0.4,98.7,1.5,16.4,1
982,59906.52213,220.62,0.24,24.9,0.3,2.36,1031.1,9.8,124,20.8,0.059,0.001,4.24,-1.1,14.5,14.8,104.6,15.7,-5.8,10.9
983,59906.52213,220.15,3.1,20.7,0.3,1.18,1004.7,28.9,101.2,44.1,0.024,0,1.76,-18.5,74.4,78,243,105.4,71.4,49.3
984,59906.52216,223.97,0.26,1096.9,13.6,8.56,1325.5,3.4,449,40.4,9.393,0.116,677.56,0.3,0,0,98.7,0.1,-0.2,0.1
985,59906.52216,219.43,0.21,26.8,0.3,3.91,1016.5,2.7,57.3,5.6,0.105,0.001,7.55,17.7,19,19.4,133.5,18.2,-6,10.9
986,59906.52439,222.43,0.11,902.7,11.2,6.03,1364,15.3,316.5,39.3,5.445,0.068,392.76,0.5,0.1,0.1,97.5,0.2,0,0.2
987,59906.52458,220.05,0.1,40,0.5,3.85,1008.7,5.2,112.9,8.4,0.154,0.002,11.12,-0.1,4.4,4.4,94.8,5.8,-6,4.2
988,59906.52471,219.55,0.05,2043,25.4,6,1053.6,4.1,314.6,9.8,12.264,0.153,884.71,-2.3,0,0,97.3,0.2,14.7,0.1
989,59906.52499,221.86,2.07,32.8,0.4,2.03,1413.7,8.3,183.1,24.2,0.067,0.001,4.8,-15.3,5.5,5.5,105.6,8.4,-2.8,5.8
990,59906.52499,222.11,0.38,45.9,0.6,3.97,1237.7,6.5,340.7,81.9,0.182,0.002,13.16,3.3,1.4,1.5,102,4.7,1.5,3.3
991,59906.52656,219.96,0.08,38.9,0.5,4.1,1014.9,5.9,123.4,10.6,0.16,0.002,11.51,2.9,2.6,2.6,85.8,4.2,4.8,3.2
992,59906.52664,222.12,0.48,126.7,1.6,7.41,1254.6,5.2,463.5,172.1,0.939,0.012,67.73,-3.5,0.3,0.3,96.9,1.1,17.5,0.8
993,59906.52743,224.91,0.12,254.3,3.2,13.25,1077.6,4.2,246.1,11.6,3.369,0.042,243.04,-0.7,0.2,0.2,102.6,0.6,0.3,0.4
994,59906.52751,220.1,0.15,27.9,0.3,2.03,1013.9,5.4,80.2,10.1,0.057,0.001,4.09,-2.1,16.7,15.4,84,13.8,31.8,11.1
995,59906.52808,219.53,0.1,89.4,1.1,4.47,1072.1,2.7,165.3,7.6,0.399,0.005,28.81,-2.5,0.7,0.7,97,2.2,1.4,1.6
996,59906.52855,220.87,0.17,210.2,2.6,6.95,1165.6,6.7,392.4,55.9,1.462,0.018,105.44,0.7,0.2,0.2,98.3,0.7,3.3,0.5
997,59906.52863,226.59,0.41,231.5,2.9,9.29,1091.1,5,279.7,15.6,2.15,0.027,155.11,-0.7,0.2,0.2,100.6,0.6,-0.1,0.4
998,59906.52976,219.68,0.1,53.7,0.7,5.6,997.7,9.5,158.8,13.3,0.301,0.004,21.69,4.5,1.7,1.8,97.8,3.7,-4.7,2.6
999,59906.53199,219.5,0.15,31.3,0.4,2.63,979.4,14.4,102.3,15.1,0.082,0.001,5.93,-0.3,11,11.5,80,11.6,27,9.4
1000,59909.46428,220.7,0.12,48.9,0.6,4.64,1067.2,9.4,255.7,24.4,0.227,0.003,16.37,-1.5,0.9,0.9,95.7,3.3,4.1,2.4
1001,59909.46494,220.09,0.29,16.4,0.2,0.58,1010.7,10.3,49.9,19.9,0.01,0,0.69,45.7,41.2,48,151.6,59,37.6,34.7
1002,59909.46948,219.59,0.34,30.5,0.4,3.26,1083,10.9,179.8,31.3,0.099,0.001,7.17,15.5,3.9,4.4,89.4,9.3,-8.2,6.9
1003,59909.46981,219.43,0.09,268.1,3.3,7.23,1010.3,4.9,189.9,7.6,1.938,0.024,139.81,0.1,0.2,0.2,97.9,0.5,-2.1,0.3
1004,59909.47016,219.95,0.29,23.5,0.3,0.98,1051.1,9.1,106.2,24.2,0.023,0,1.67,-32.9,29.4,26.6,83.6,19.3,-37.5,15.8
1005,59909.47267,219.54,0.15,27.8,0.3,1.44,1023,2.8,67,6.7,0.04,0,2.88,-38.3,11.2,11.2,108,13,16.2,9
1006,59909.47354,220.19,0.09,93.1,1.1,2.78,1011.1,4.2,126.9,6.9,0.259,0.003,18.66,3.7,1.3,1.3,87.3,2.1,-59,1.8
1007,59909.47433,220.14,0.26,26.3,0.3,1.72,1004.2,7.8,74.1,12.1,0.045,0.001,3.25,9.5,18.1,17.8,98.6,10.3,6.1,7.3
1008,59909.47435,219.76,0.12,147.5,1.8,7.6,1040.5,3.2,186.8,6.8,1.121,0.014,80.85,1.5,0.3,0.3,92.5,0.9,-37.2,0.7
1009,59909.47714,219.29,0.27,25.3,0.3,2.75,1048.1,14.5,160,34.1,0.07,0.001,5.02,6.7,6.7,7.8,73,10.9,-17.9,8.9
1010,59909.4794,220.21,0.08,395,4.8,4.68,1040.9,2.4,174.8,5,1.848,0.022,133.33,-1.7,0.2,0.2,100.4,0.5,5.2,0.4
1011,59909.48,220.74,0.23,27.9,0.3,1.94,1017.4,2.2,53,5.2,0.054,0.001,3.89,6.9,10.9,11.9,74,8.7,-14.7,7.1
1012,59909.48121,219.87,0.09,121.6,1.5,6.86,1024.8,2.7,148.1,5.2,0.835,0.01,60.2,-1.7,0.4,0.4,100.1,1,6.2,0.7
1013,59909.48166,219.78,0.1,43.6,0.5,4.04,1016.4,3.1,99.6,5.9,0.176,0.002,12.73,-6.5,2.1,2.1,97.3,3.4,-4.3,2.5
1014,59912.53449,220.72,0.28,25,0.3,1.16,1012.5,3.1,53.1,7,0.029,0,2.09,-20.1,17.3,17.4,124.5,17.9,11.3,11.3
1015,59912.53479,221.3,0.17,354.2,3.8,6.27,1139.4,2.1,249.1,7.9,2.22,0.024,160.16,-2.3,0.1,0.1,96.4,0.4,25.1,0.3
1016,59912.53479,219.61,0.06,384.6,4.2,7.54,1029.4,4.2,234.4,7.8,2.899,0.031,209.15,-2.1,0.1,0.1,97.2,0.3,22.4,0.2
1017,59912.53482,219.87,0.11,41.4,0.4,1.73,1010.7,4.5,83.1,8.2,0.072,0.001,5.17,-2.5,6.8,7.3,88.4,8,17.1,6
1018,59912.53727,220.57,0.13,38.8,0.4,2.92,1029.4,5.2,45.5,12.7,0.113,0.001,8.18,3.1,3.7,3.7,106.6,5.5,11.3,3.8
1019,59912.53727,221.48,0.17,346.9,3.8,7.53,928.5,33.9,365.1,38.3,2.614,0.029,188.54,-0.5,0.2,0.2,100.8,0.5,1.5,0.4
1020,59912.53776,220.58,0.1,65,0.7,5.9,1014.6,6.5,164.6,11.1,0.384,0.004,27.67,-5.5,0.9,0.9,95.6,2.2,23.1,1.6
1021,59912.53811,219.67,0.09,132.2,1.5,6.23,1016.1,2.1,102.7,3.7,0.823,0.009,59.4,-0.3,0.6,0.6,98.5,1,-3.7,0.7
1022,59912.54211,220.39,4.71,26.4,0.3,2.09,1389,31,408.5,152.5,0.055,0.001,3.97,-7.9,8,8.7,90.3,12.8,-17.5,9.7
1023,59912.54217,220.97,0.22,26.7,0.3,1.85,1006.9,2.8,49.8,4.8,0.05,0.001,3.58,13.5,8.8,8.9,106.2,8.8,-63.4,7.2
1024,59912.54245,221.5,0.36,36.6,0.4,3.12,1072.6,9.7,199,26.4,0.114,0.001,8.24,-1.9,2.9,2.9,105,8.9,-16.2,6.2
1025,59912.54425,219.93,0.09,34.1,0.4,1.89,1012.4,2,55.6,4,0.064,0.001,4.65,7.3,5.4,5.1,110.7,7.6,-12.6,5.1
1026,59912.5449,220.15,0.12,62.3,0.7,3.87,1092.9,4.4,200.6,13,0.241,0.003,17.38,-3.3,0.9,1,96.7,3.7,-10.5,2.7
1027,59912.5449,219.01,0.36,90.2,1.1,8.79,997.3,8.6,191.6,12.6,0.792,0.009,57.17,-3.1,0.6,0.6,93.9,1.7,-2.5,1.2
1028,59912.54549,221.97,0.29,33.2,0.4,1.91,1128.1,10.5,211,34.3,0.063,0.001,4.57,11.1,2.8,3.5,100.6,11.7,-14.2,8.4
1029,59912.54581,220.08,0.1,39.6,0.5,1.5,1029.3,5.7,124.3,12.5,0.06,0.001,4.3,5.1,5.3,5.5,109.2,9.6,1.9,6.5
1030,59912.54604,221.13,0.17,138.5,1.6,9.33,1077.1,8,322.2,23.5,1.293,0.015,93.25,2.1,0.3,0.3,100.4,1,-16.5,0.7
1031,59912.54853,223.18,1.14,113.8,1.4,3.93,1296,5.4,248,26.4,0.447,0.005,32.27,-5.3,0.9,0.9,98.4,2.8,2.9,2
1032,59912.5488,220.36,0.28,34.2,0.4,1.57,1036.6,6.7,91,17.2,0.054,0.001,3.87,0.7,11.9,13.2,95.9,14.5,-12.1,10.6
1033,59912.55087,223.42,1.05,75.1,0.9,4.63,1165.4,5.8,220.5,21.1,0.348,0.004,25.09,-3.1,1,0.9,86.8,3,3.5,2.3
1034,59912.55128,220.52,0.09,63.8,0.8,2.85,1011.2,5.8,132.4,9.6,0.182,0.002,13.11,0.5,2.4,2.3,105.4,4.7,-12.7,3.3
1035,59912.55163,220.4,0.1,51.9,0.7,2.88,1002.4,5.7,88.4,7.7,0.15,0.002,10.8,3.1,3.8,3.6,95,4.6,6.3,3.3
1036,59912.55233,220.96,0.28,55.1,0.7,3.15,1177.4,6.8,226.9,25.8,0.174,0.002,12.54,1.1,1.7,1.7,95.8,5.8,8.6,4.2
1037,59915.45716,220.67,0.13,198.4,2.4,5.55,1075.1,2.3,194.8,6.3,1.102,0.013,79.51,-1.7,0.2,0.2,98.3,0.7,-2.4,0.5
1038,59915.45782,219.85,0.12,37.1,0.5,4.81,1014.1,3.4,94.7,6.1,0.179,0.002,12.88,-7.3,2.3,2.2,102.8,3.7,12.8,2.6
1039,59915.45787,223.05,0.7,33.3,0.4,3.54,1015.8,4,89,7.6,0.118,0.001,8.5,5.9,3.7,3.8,94,4.9,11.8,3.6
1040,59915.45787,218.98,0.19,53.6,0.7,4.25,1012.5,4.2,109.9,7.1,0.228,0.003,16.44,-5.3,1.7,1.7,92.9,2.6,15.1,1.9
1041,59915.45826,222.24,0.78,27.2,0.3,2.9,1179.4,10.7,128.4,30.1,0.079,0.001,5.7,8.9,3.7,3.6,78.8,7.9,18,6.3
1042,59915.45845,220.5,0.1,104.4,1.3,5.77,1034.3,2.2,134.6,4.9,0.603,0.007,43.47,-0.9,0.5,0.5,96,1.1,-15.8,0.8
1043,59915.45891,219.82,0.09,129.3,1.6,5.89,1027.8,3.1,153.8,6.3,0.762,0.009,54.97,0.1,0.5,0.6,99.8,1.3,-13.6,0.9
1044,59915.46114,220.07,0.12,59,0.7,6.03,1073.3,4.4,181.7,12.4,0.356,0.004,25.68,-2.7,0.8,0.8,101.5,2.8,15.8,2
1045,59915.46127,223.44,0.69,32.9,0.4,5.17,1295.9,6.2,488.4,133.1,0.17,0.002,12.24,0.3,1.6,1.6,99.4,5.1,14.1,3.7
1046,59915.46127,219.64,0.14,145.2,1.8,10.68,1059.8,4.8,218.8,12,1.55,0.019,111.84,-3.1,0.2,0.2,91.8,0.8,40.7,0.6
1047,59915.46127,221.99,0.46,78.7,1,2.66,1172.4,3.7,142.6,10.8,0.209,0.003,15.11,1.3,1,1.2,46.2,2.6,6.7,2.3
1048,59915.4618,221.24,3.42,24.3,0.3,0.89,1234.8,16.4,313,160.2,0.022,0,1.56,-1.5,12.4,12.3,60.2,15.1,24.5,13.3
1049,59915.4618,220.4,0.11,29.9,0.4,2.85,1013.5,2.9,79.3,5.6,0.085,0.001,6.16,-0.9,3.1,3,117,5,12.2,3.3
1050,59915.46445,222.37,3.55,119.1,1.4,5.7,1482.8,15.5,270.1,27.7,0.679,0.008,49.02,0.3,0.8,0.8,97.2,1,5.2,0.8
1051,59915.46468,220.36,0.09,55.5,0.7,4.91,1016.4,4,125.1,7.3,0.272,0.003,19.65,-5.9,1.1,1.1,98.8,2.3,3.8,1.7
1052,59915.46495,222.94,0.2,50.6,0.6,3.68,1192.1,8.3,367.7,74.5,0.186,0.002,13.43,-7.1,1,1,88,3.7,38.7,3
1053,59915.46495,223.15,0.62,453.7,5.5,9.43,1188,2.6,317.4,17.4,4.278,0.052,308.59,0.5,0.1,0.1,99.9,0.4,-4.6,0.2
1054,59915.46509,220.98,0.16,34.3,0.4,4.54,1107,5.8,186.1,17.9,0.156,0.002,11.25,2.9,1.2,1.4,102,4.8,-0.1,3.4
1055,59915.46538,228.38,0.79,99.2,1.2,5.88,1098.4,2.3,166.4,6.9,0.583,0.007,42.07,0.1,0.4,0.4,98.5,1.3,9.6,0.9
1056,59915.46562,219.91,0.1,32.2,0.4,5.1,1018.3,6,134.6,11.2,0.164,0.002,11.83,0.7,1.9,2,98.3,4.2,12.3,3
1057,59915.46562,219.95,0.26,21.6,0.3,1.79,1013.2,4.9,68.8,9.8,0.039,0,2.79,20.5,8.9,10.1,101.1,12.2,31.4,9
1058,59915.46698,221.86,0.24,560.5,6.8,7.61,1052.6,11.1,508.1,41.7,4.263,0.051,307.52,-1.5,0.1,0.1,99,0.2,10.9,0.2
1059,59915.46698,220.22,0.13,32.8,0.4,2.06,1023,4.2,48,10.7,0.068,0.001,4.88,-2.3,6.1,6.2,94,7.3,-3,5.3
1060,59918.48809,221.31,2.89,442.7,5.5,4.81,1450.3,4.5,207,10.3,2.131,0.026,153.74,0.1,0.4,0.4,92.9,0.4,8.6,0.3
1061,59918.48911,219.5,0.12,36.3,0.4,4.15,1004,7.9,127.6,12.4,0.151,0.002,10.89,2.7,2.7,2.8,93.6,4.6,-3.4,3.4
1062,59918.48958,220.18,0.09,57,0.7,6.89,1009,5,142.2,8.3,0.392,0.005,28.31,-3.9,1,1,102.7,2,-1.5,1.4
1063,59918.49,220.95,0.13,121.4,1.5,9.29,1104.3,3,206,9.3,1.128,0.014,81.4,-1.5,0.2,0.2,103.6,0.9,4,0.6
1064,59918.49464,222.14,0.52,25.9,0.3,2.57,1100.1,9.8,177.8,29.4,0.067,0.001,4.8,13.5,4.2,4.6,116.9,15,-1.8,9.8
1065,59918.49503,221.72,0.23,482.1,6,3.43,1149.1,1.8,214,6.2,1.656,0.021,119.44,-0.3,0.2,0.2,101.1,0.5,4,0.4
1066,59918.49568,221.26,0.41,76.9,1,6.21,1211.6,4.2,241,20.2,0.477,0.006,34.43,-0.1,0.6,0.6,96.4,1.9,16.4,1.4
1067,59918.49641,220.07,0.16,22.1,0.3,1.96,962.4,34.4,130.1,32.2,0.043,0.001,3.14,15.5,10.1,9.9,88.9,9.6,-11,7.2
1068,59918.49664,220.06,0.08,64.3,0.8,3.53,1004.2,5.5,132.3,8.2,0.227,0.003,16.4,1.1,1,1.1,98.4,2,-1.2,1.4
1069,59918.49721,219.25,4.25,34,0.4,2.84,1411.3,8,199.2,23.5,0.096,0.001,6.95,-9.1,4.3,4.5,88,5.4,-6.5,4
1070,59918.49743,221.81,3.34,64.8,0.8,2.99,1445.2,5.6,165.2,14.6,0.194,0.002,13.97,-5.9,2.7,2.6,98.2,3.8,4.4,2.7
1071,59918.49904,219.71,0.29,21.7,0.3,1.23,1038.6,6.2,77.5,16,0.027,0,1.92,-24.3,15.4,15,114.8,20.1,-1,13.2
1072,59918.49918,221.45,0.18,54.1,0.7,5.52,1088.2,4.3,207.3,12.7,0.298,0.004,21.52,-0.9,0.8,0.7,97.4,2.6,9,1.9
1073,59935.3739,220.23,3.17,26.7,0.3,0.54,1007.3,12.1,55,20.9,0.014,0,1.04,-50.3,38.5,25.1,41.8,19.8,9.7,18.4
1074,59935.3786,220.94,0.1,50.6,0.6,2.35,1032.4,10.9,214.1,21.9,0.119,0.002,8.58,-1.9,1.5,1.6,91.2,5.1,14.8,3.8
1075,59935.38535,221.23,0.19,32.9,0.4,2.57,1079.2,8.3,192.5,24.2,0.084,0.001,6.09,5.3,2.7,2.7,95,7.3,12.1,5.3
