,MJD,DM,DMError,Flux,FluxError,Width,PeakFrequency,PeakFrequencyError,BandWidth,BandWidthError,Fluence,FluenceError,Energy,RM,RMErrorLeft,RMErrorRight,Linear,LinearError,Circular,CircularError
846,59900.5525,224.89,0.33,167.6,2.1,5.88,1270.7,3.8,289.5,29.8,0.985,0.013,71.04,0.9,0.3,0.3,102.5,1,4.5,0.7
847,59900.55272,218.96,0.16,561.6,7.2,8.9,1089,10,482.1,48.7,4.997,0.064,360.48,-0.3,0.1,0.1,99.8,0.3,2.7,0.2
848,59900.55289,221.96,0.72,189.8,2.4,5.68,1350.8,6.1,349.2,34.3,1.078,0.014,77.79,1.5,0.3,0.3,97.9,0.7,-7,0.5
849,59900.553,220.12,0.11,51.2,0.7,6.3,1017.1,4.8,116.4,9,0.322,0.004,23.25,-6.7,2.1,2.1,100.2,3.4,-0.4,2.4
850,59900.55321,224.01,0.94,28.7,0.4,2.83,1252.3,8.5,243.5,48.3,0.081,0.001,5.85,-0.1,3,3,85.8,8.2,7.4,6.2
851,59900.55327,221,0.27,25.4,0.3,1.89,1089.1,10.1,134.6,28.2,0.048,0.001,3.46,0.5,4.2,4.7,84,11.3,-17.3,8.8
852,59900.5534,222.52,0.2,89.4,1.1,3.99,1148.7,3.5,201,11.7,0.356,0.005,25.7,-1.7,0.6,0.6,96.5,2,7.4,1.5
853,59900.55345,221.25,0.2,90.9,1.2,4.74,1123.4,2.9,168.1,8.5,0.431,0.006,31.06,-0.9,0.6,0.6,99.7,2,1.8,1.4
854,59900.55351,220.9,0.21,60.3,0.8,4.58,1150.3,3.7,166.7,11.5,0.276,0.004,19.91,2.1,1.2,1.2,103.2,3.7,9,2.6
855,59900.55387,219.77,0.12,45.6,0.6,5.33,1014.1,12.6,187.5,21.5,0.243,0.003,17.55,0.5,1.5,1.4,104.1,4.1,-4.4,2.8
856,59900.55426,221.24,0.28,485.6,6.2,6.82,1261,2.6,312.5,27,3.31,0.043,238.74,-0.3,0.1,0.1,100,0.4,-7.6,0.2
857,59900.55465,218.01,3.71,26.5,0.3,1.32,1398.9,14.1,228.1,44,0.035,0,2.53,-20.3,8.4,8.1,106.2,16.8,-8.5,11.6
